Alpha (deg),C_L,C_Di,C_Do,C_Dtot
-2.0,-0.194308689887,0.00152161682,0.016196598341,0.017718215161
-1.5,-0.145491755039,0.000853084486,0.016115874326,0.016968958812
-1.0,-0.096793022206,0.000377667415,0.016058666196,0.016436333611
-0.5,-0.048308784295,9.4165252e-05,0.016024857608,0.01611902286
0.0,0.0,0.0,0.016014309906,0.016014309906
0.5,0.048187574121,9.3603349e-05,0.01602677274,0.016120376089
1.0,0.096221657996,0.000372454803,0.016062253247,0.016434708049
1.5,0.144139956764,0.000834882039,0.01612073721,0.016955619249
2.0,0.191835577318,0.001477707782,0.016202038381,0.017679746163
2.5,0.239234978016,0.002296708317,0.016305955383,0.0186026637
3.0,0.286365137139,0.0032894669,0.016432206968,0.019721673868
3.5,0.333840362085,0.004476280236,0.016581608743,0.021057888979
4.0,0.381803221076,0.005868289966,0.016754726789,0.022623016755
4.5,0.429523875635,0.007440770381,0.016949566033,0.024390336414
5.0,0.477391653758,0.009209024243,0.017167133666,0.02637615791
5.5,0.525439291432,0.011174697347,0.017408221876,0.028582919223
6.0,0.573439993277,0.013333319774,0.01767048735,0.031003807123
6.5,0.621652992917,0.015699432036,0.017955856071,0.033655288107
7.0,0.669629782115,0.018234815123,0.018262835648,0.036497650771
7.5,0.717965696779,0.020977806547,0.018593456252,0.039571262799
8.0,0.766126281711,0.023904713407,0.018944905258,0.042849618665
8.5,0.814744671558,0.027076289627,0.019319977445,0.046396267072
9.0,0.86296034674,0.030398495986,0.019713845121,0.050112341107
9.5,0.910942825168,0.033853355457,0.020127500042,0.053980855499
10.0,0.958840375496,0.037487922696,0.020561795849,0.058049718545
10.5,1.006810793184,0.041319415127,0.021016678623,0.06233609375
11.0,1.055023294658,0.04534486656,0.021493229804,0.066838096365
11.5,1.102768703246,0.049484017323,0.02198765393,0.071471671253
12.0,1.15032546971,0.053793004658,0.022500139642,0.0762931443
12.5,1.197947850172,0.058392096101,0.023032456554,0.081424552655
13.0,1.245537769534,0.063073999035,0.023583536064,0.086657535099
