# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
6

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Main Wing,0,FPWUKASXED,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
4.736842105263157237e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
4.650273572361776928e+02, 0.000000000000000000e+00, 2.731513997655036885e+00, 1.000000000000000000e+00, 4.173311976788848798e-02
4.523394069025314934e+02, 0.000000000000000000e+00, 5.752539943699849445e+00, 1.000000000000000000e+00, 9.595583006934514658e-02
4.341730641817208038e+02, 0.000000000000000000e+00, 8.386466520815829995e+00, 1.000000000000000000e+00, 1.722603643809275942e-01
4.091542647774310808e+02, 0.000000000000000000e+00, 1.021669336297658326e+01, 1.000000000000000000e+00, 2.765358755368440558e-01
3.762184500970561771e+02, 0.000000000000000000e+00, 1.087886927435005191e+01, 1.000000000000000000e+00, 4.134663504172013671e-01
3.351620455358833510e+02, 0.000000000000000000e+00, 1.000683210573733462e+01, 1.000000000000000000e+00, 5.841612375912467181e-01
2.872340830297675325e+02, 0.000000000000000000e+00, 7.432905745674110776e+00, 1.000000000000000000e+00, 7.836633902842906618e-01
2.353366001702882784e+02, 0.000000000000000000e+00, 3.482247139758554599e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
1.834863164812530272e+02, 0.000000000000000000e+00, -1.050437125141477246e+00, 1.000000000000000000e+00, 1.216336609715709338e+00
1.356654715445667989e+02, 0.000000000000000000e+00, -5.168260600081615586e+00, 1.000000000000000000e+00, 1.415838762408753171e+00
9.470335882805179040e+01, 0.000000000000000000e+00, -8.097440054107901020e+00, 1.000000000000000000e+00, 1.586533649582798633e+00
6.178939846562117566e+01, 0.000000000000000000e+00, -9.480245907063192590e+00, 1.000000000000000000e+00, 1.723464124463156111e+00
3.670464732376117922e+01, 0.000000000000000000e+00, -9.334619533948414372e+00, 1.000000000000000000e+00, 1.827739635619072267e+00
1.841008121541779730e+01, 0.000000000000000000e+00, -7.852602836203052661e+00, 1.000000000000000000e+00, 1.904044169930654951e+00
5.666985010868915928e+00, 0.000000000000000000e+00, -5.012377971604543347e+00, 1.000000000000000000e+00, 1.958266880232111484e+00
1.468421067233736388e-01, 0.000000000000000000e+00, 1.127368402912428458e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
5.440070018709754152e+00, 0.000000000000000000e+00, 8.661005174362102821e+00, 1.000000000000000000e+00, 2.041733119767888294e+00
1.621370445798284976e+01, 0.000000000000000000e+00, 1.646793984461144333e+01, 1.000000000000000000e+00, 2.095955830069344827e+00
3.317468316217851054e+01, 0.000000000000000000e+00, 2.444932891460151581e+01, 1.000000000000000000e+00, 2.172260364380927733e+00
5.758942919756727008e+01, 0.000000000000000000e+00, 3.222142602043400927e+01, 1.000000000000000000e+00, 2.276535875536843889e+00
9.053555516635887557e+01, 0.000000000000000000e+00, 3.905920773567230952e+01, 1.000000000000000000e+00, 2.413466350417201589e+00
1.321915697720088758e+02, 0.000000000000000000e+00, 4.399812628722875019e+01, 1.000000000000000000e+00, 2.584161237591246607e+00
1.811733390750950718e+02, 0.000000000000000000e+00, 4.615555280500640123e+01, 1.000000000000000000e+00, 2.783663390284290440e+00
2.343316950032460397e+02, 0.000000000000000000e+00, 4.511821311057281747e+01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.873530972196986113e+02, 0.000000000000000000e+00, 4.114518898888177745e+01, 1.000000000000000000e+00, 3.216336609715709116e+00
3.360138587771564289e+02, 0.000000000000000000e+00, 3.511096245259345494e+01, 1.000000000000000000e+00, 3.415838762408752949e+00
