WARNING: 2 open meshes merged
     Merged: Main Wing
     Merged: Tail Wing
...Mass Properties...
4 Num Comps
4 Total Num Meshes
2992 Total Num Tris

1.187915447313161e+03             Total Mass
2.926851269011365e+02 -3.560007987591128e-14 4.490394041820571e+01       Center of Gravity
2.216316250720771e+08 1.541846915448685e+08 3.739372926158791e+08       Ixx, Iyy, Izz
-5.136231804542152e+03 -4.064208830179439e+06 2.804512432623816e+03       Ixy, Ixz, Iyz
2.020264366178846e+07             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Main Wing	1.034143167942030e+03	1.584289185449097e+02	-2.411578523106391e-12	4.860821895002920e+01	2.109596088102394e+08	9.412667488210287e+06	2.193172311450630e+08	-4.662363592958914e+03	-1.687665592546680e+05	2.561281298662912e+03	1.758746884247120e+07
Tail Wing	1.176133929006423e+02	1.190191493761070e+03	-9.981563801232765e-14	-2.544366293034180e-15	7.220122814042922e+06	2.840409984589552e+05	7.500394965409060e+06	-4.505823709673538e+02	-2.888520976366910e+01	2.478793235126172e+02	2.000227770420219e+06
Vertical Wing Right	1.807944323713477e+01	1.213105386293382e+03	2.900000000000019e+02	8.501995594339002e+01	5.071964295743969e+04	8.289120339384014e+04	3.303968995096871e+04	7.095753998758777e+00	1.188826672213931e+04	1.362052211291719e+00	3.074735244410674e+05
Vertical Wing Left	1.807944323713476e+01	1.213105386293370e+03	-2.899999999999984e+02	8.501995594339009e+01	5.067957139411270e+04	8.289316632896080e+04	3.299765545252101e+04	-3.038159464920255e+01	1.188954916025008e+04	-6.010241761954553e+00	3.074735244410645e+05
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.187915447313161e+03	2.926851269011365e+02	-3.560007987591128e-14	4.490394041820571e+01	2.216316250720771e+08	1.541846915448685e+08	3.739372926158791e+08	-5.136231804542152e+03	-4.064208830179439e+06	2.804512432623816e+03	2.020264366178846e+07

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
100 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
6.639415622831415e+00	1.805012342022686e+01	6.639415622831065e+00	-3.724772778791840e-13	3.958313475797669e+01	4.533171973390108e+06	1.008170784040293e+04	4.524381441039779e+06	-7.206122347087579e+01	-4.740156525776935e+00	4.358841499512090e+01	3.069748880990837e+05
1.974203634042619e+01	4.989227270663770e+01	1.500174474313385e+01	-1.766812531054603e-12	4.134449148616650e+01	1.252145575893900e+07	3.077978855063721e+04	1.249820035055976e+07	-2.129511351598198e+02	4.028476764037073e+02	1.226247058663856e+02	8.485080392284387e+05
3.284465705802097e+01	8.997753631919244e+01	2.295081595598116e+01	-1.794559996932247e-12	4.265006853099030e+01	2.244889951167901e+07	6.221685374164221e+04	2.241122734756558e+07	-3.952255480853912e+02	1.553586551043607e+03	2.226395859639351e+02	1.530230209509937e+06
4.594727777561575e+01	1.354472694377137e+02	3.067074258092771e+01	-2.167208664188636e-12	4.380199856811104e+01	3.364038860896643e+07	1.065748887085764e+05	3.359355858987631e+07	-6.044309730604666e+02	3.923943849333518e+03	3.363779011560886e+02	2.303524990437156e+06
5.904989849321053e+01	1.846483909858850e+02	3.823260809201965e+01	-2.312495361326632e-12	4.479061281679012e+01	4.564174518607513e+07	1.671461341306939e+05	4.559599720927761e+07	-8.316435046409935e+02	7.709757524397298e+03	4.601409856323268e+02	3.140278758263199e+06
7.215251921080532e+01	2.362304611742178e+02	4.563918566636388e+01	-2.672551230314787e-12	4.566927222102075e+01	5.809186411848653e+07	2.467941241466074e+05	5.806293655833280e+07	-1.070736411887605e+03	1.319799130404618e+04	5.901184524310963e+02	4.017524849901525e+06
8.525513992840010e+01	2.893789093497975e+02	5.291520483704908e+01	-2.984694958974078e-12	4.644541645714309e+01	7.077597880401435e+07	3.493727799013174e+05	7.078445962447537e+07	-1.317920373324733e+03	2.044602858784531e+04	7.239145616490911e+02	4.921410022955625e+06
