Time,Voltage,Current
 (s),(V),(A)
0,4.192,0
1,4.157,1.359
2,4.131,2.25
3,4.128,2.25
4,4.126,2.25
5,4.125,2.25
6,4.125,2.25
7,4.123,2.25
8,4.122,2.25
9,4.121,2.25
10,4.121,2.25
11,4.121,2.25
12,4.118,2.25
13,4.118,2.25
14,4.117,2.25
15,4.116,2.25
16,4.116,2.25
17,4.116,2.25
18,4.115,2.25
19,4.115,2.25
20,4.113,2.25
21,4.113,2.25
22,4.113,2.25
23,4.112,2.25
24,4.112,2.25
25,4.111,2.25
26,4.111,2.25
27,4.111,2.25
28,4.111,2.25
29,4.11,2.25
30,4.11,2.25
31,4.11,2.25
32,4.108,2.25
33,4.108,2.25
34,4.107,2.25
35,4.107,2.25
36,4.107,2.25
37,4.107,2.25
38,4.106,2.25
39,4.106,2.25
40,4.106,2.25
41,4.106,2.25
42,4.106,2.25
43,4.106,2.25
44,4.105,2.25
45,4.105,2.25
46,4.103,2.25
47,4.103,2.25
48,4.103,2.25
49,4.103,2.25
50,4.102,2.25
51,4.102,2.25
52,4.102,2.25
53,4.102,2.25
54,4.101,2.25
55,4.101,2.25
56,4.101,2.25
57,4.101,2.25
58,4.1,2.25
59,4.1,2.25
60,4.098,2.25
61,4.098,2.25
62,4.098,2.25
63,4.097,2.25
64,4.097,2.25
65,4.097,2.25
66,4.096,2.25
67,4.097,2.25
68,4.096,2.25
69,4.096,2.25
70,4.096,2.25
71,4.096,2.25
72,4.094,2.25
73,4.094,2.25
74,4.094,2.25
75,4.094,2.25
76,4.094,2.25
77,4.093,2.25
78,4.093,2.25
79,4.093,2.25
80,4.092,2.25
81,4.092,2.25
82,4.092,2.25
83,4.092,2.25
84,4.092,2.25
85,4.091,2.25
86,4.091,2.25
87,4.091,2.25
88,4.091,2.25
89,4.091,2.25
90,4.089,2.25
91,4.089,2.25
92,4.089,2.25
93,4.088,2.25
94,4.088,2.25
95,4.088,2.25
96,4.088,2.25
97,4.088,2.25
98,4.088,2.25
99,4.087,2.25
100,4.087,2.25
101,4.087,2.25
102,4.086,2.25
103,4.086,2.25
104,4.086,2.25
105,4.086,2.25
106,4.086,2.25
107,4.086,2.25
108,4.086,2.25
109,4.084,2.25
110,4.084,2.25
111,4.084,2.25
112,4.084,2.25
113,4.083,2.25
114,4.084,2.25
115,4.083,2.25
116,4.083,2.25
117,4.082,2.25
118,4.082,2.25
119,4.082,2.25
120,4.082,2.25
121,4.082,2.25
122,4.081,2.25
123,4.081,2.25
124,4.081,2.25
125,4.081,2.25
126,4.081,2.25
127,4.081,2.25
128,4.081,2.25
129,4.081,2.25
130,4.079,2.25
131,4.079,2.25
132,4.078,2.25
133,4.078,2.25
134,4.078,2.25
135,4.078,2.25
136,4.077,2.25
137,4.077,2.25
138,4.077,2.25
139,4.076,2.25
140,4.076,2.25
141,4.076,2.25
142,4.076,2.25
143,4.076,2.25
144,4.076,2.25
145,4.076,2.25
146,4.074,2.25
147,4.074,2.25
148,4.074,2.25
149,4.074,2.25
150,4.074,2.25
151,4.073,2.25
152,4.073,2.25
153,4.073,2.25
154,4.073,2.25
155,4.072,2.25
156,4.072,2.25
157,4.072,2.25
158,4.072,2.25
159,4.071,2.25
160,4.071,2.25
161,4.071,2.25
162,4.071,2.25
163,4.071,2.25
164,4.069,2.25
165,4.069,2.25
166,4.069,2.25
167,4.069,2.25
168,4.068,2.25
169,4.068,2.25
170,4.068,2.25
171,4.068,2.25
172,4.068,2.25
173,4.068,2.25
174,4.068,2.25
175,4.067,2.25
176,4.067,2.25
177,4.067,2.25
178,4.066,2.25
179,4.066,2.25
180,4.066,2.25
181,4.066,2.25
182,4.066,2.25
183,4.066,2.25
184,4.066,2.25
185,4.064,2.25
186,4.066,2.25
187,4.064,2.25
188,4.064,2.25
189,4.064,2.25
190,4.063,2.25
191,4.063,2.25
192,4.063,2.25
193,4.063,2.25
194,4.063,2.25
195,4.062,2.25
196,4.062,2.25
197,4.062,2.25
198,4.062,2.25
199,4.061,2.25
200,4.061,2.25
201,4.061,2.25
202,4.061,2.25
203,4.061,2.25
204,4.061,2.25
205,4.061,2.25
206,4.059,2.25
207,4.059,2.25
208,4.058,2.25
209,4.058,2.25
210,4.058,2.25
211,4.058,2.25
212,4.057,2.25
213,4.057,2.25
214,4.056,2.25
215,4.056,2.25
216,4.056,2.25
217,4.056,2.25
218,4.056,2.25
219,4.056,2.25
220,4.056,2.25
221,4.054,2.25
222,4.054,2.25
223,4.054,2.25
224,4.054,2.25
225,4.054,2.25
226,4.054,2.25
227,4.053,2.25
228,4.053,2.25
229,4.053,2.25
230,4.053,2.25
231,4.053,2.25
232,4.052,2.25
233,4.052,2.25
234,4.052,2.25
235,4.051,2.25
236,4.051,2.25
237,4.051,2.25
238,4.051,2.25
239,4.051,2.25
240,4.051,2.25
241,4.049,2.25
242,4.049,2.25
243,4.049,2.25
244,4.049,2.25
245,4.049,2.25
246,4.048,2.25
247,4.048,2.25
248,4.048,2.25
249,4.048,2.25
250,4.048,2.25
251,4.047,2.25
252,4.047,2.25
253,4.047,2.25
254,4.047,2.25
255,4.045,2.25
256,4.045,2.25
257,4.045,2.25
258,4.045,2.25
259,4.045,2.25
260,4.045,2.25
261,4.045,2.25
262,4.045,2.25
263,4.045,2.25
264,4.044,2.25
265,4.044,2.25
266,4.044,2.25
267,4.043,2.25
268,4.043,2.25
269,4.043,2.25
270,4.043,2.25
271,4.043,2.25
272,4.042,2.25
273,4.042,2.25
274,4.042,2.25
275,4.042,2.25
276,4.042,2.25
277,4.04,2.25
278,4.04,2.25
279,4.04,2.25
280,4.04,2.25
281,4.04,2.25
282,4.04,2.25
283,4.04,2.25
284,4.04,2.25
285,4.039,2.25
286,4.039,2.25
287,4.039,2.25
288,4.039,2.25
289,4.038,2.25
290,4.038,2.25
291,4.038,2.25
292,4.037,2.25
293,4.037,2.25
294,4.037,2.25
295,4.035,2.25
296,4.037,2.25
297,4.035,2.25
298,4.035,2.25
299,4.035,2.25
300,4.035,2.25
301,4.035,2.25
302,4.034,2.25
303,4.034,2.25
304,4.034,2.25
305,4.034,2.25
306,4.034,2.25
307,4.034,2.25
308,4.034,2.25
309,4.034,2.25
310,4.033,2.25
311,4.033,2.25
312,4.033,2.25
313,4.033,2.25
314,4.032,2.25
315,4.032,2.25
316,4.032,2.25
317,4.032,2.25
318,4.032,2.25
319,4.03,2.25
320,4.03,2.25
321,4.03,2.25
322,4.03,2.25
323,4.03,2.25
324,4.03,2.25
325,4.029,2.25
326,4.029,2.25
327,4.029,2.25
328,4.029,2.25
329,4.029,2.25
330,4.029,2.25
331,4.028,2.25
332,4.028,2.25
333,4.028,2.25
334,4.027,2.25
335,4.028,2.25
336,4.027,2.25
337,4.027,2.25
338,4.027,2.25
339,4.027,2.25
340,4.027,2.25
341,4.025,2.25
342,4.025,2.25
343,4.025,2.25
344,4.025,2.25
345,4.025,2.25
346,4.025,2.25
347,4.025,2.25
348,4.025,2.25
349,4.025,2.25
350,4.024,2.25
351,4.024,2.25
352,4.024,2.25
353,4.024,2.25
354,4.024,2.25
355,4.023,2.25
356,4.023,2.25
357,4.023,2.25
358,4.023,2.25
359,4.023,2.25
360,4.023,2.25
361,4.022,2.25
362,4.022,2.25
363,4.022,2.25
364,4.022,2.25
365,4.022,2.25
366,4.02,2.25
367,4.02,2.25
368,4.02,2.25
369,4.02,2.25
370,4.02,2.25
371,4.02,2.25
372,4.02,2.25
373,4.02,2.25
374,4.02,2.25
375,4.019,2.25
376,4.019,2.25
377,4.019,2.25
378,4.019,2.25
379,4.019,2.25
380,4.019,2.25
381,4.018,2.25
382,4.018,2.25
383,4.017,2.25
384,4.017,2.25
385,4.017,2.25
386,4.018,2.25
387,4.017,2.25
388,4.015,2.25
389,4.015,2.25
390,4.017,2.25
391,4.015,2.25
392,4.015,2.25
393,4.015,2.25
394,4.015,2.25
395,4.015,2.25
396,4.015,2.25
397,4.015,2.25
398,4.015,2.25
399,4.015,2.25
400,4.014,2.25
401,4.014,2.25
402,4.014,2.25
403,4.014,2.25
404,4.014,2.25
405,4.014,2.25
406,4.014,2.25
407,4.014,2.25
408,4.014,2.25
409,4.013,2.25
410,4.013,2.25
411,4.013,2.25
412,4.013,2.25
413,4.013,2.25
414,4.013,2.25
415,4.013,2.25
416,4.013,2.25
417,4.013,2.25
418,4.012,2.25
419,4.012,2.25
420,4.012,2.25
421,4.012,2.25
422,4.012,2.25
423,4.012,2.25
424,4.01,2.25
425,4.01,2.25
426,4.01,2.25
427,4.01,2.25
428,4.01,2.25
429,4.01,2.25
430,4.01,2.25
431,4.01,2.25
432,4.01,2.25
433,4.01,2.25
434,4.01,2.25
435,4.009,2.25
436,4.009,2.25
437,4.009,2.25
438,4.009,2.25
439,4.009,2.25
440,4.009,2.25
441,4.008,2.25
442,4.008,2.25
443,4.008,2.25
444,4.008,2.25
445,4.008,2.25
446,4.008,2.25
447,4.008,2.25
448,4.008,2.25
449,4.007,2.25
450,4.007,2.25
451,4.007,2.25
452,4.007,2.25
453,4.007,2.25
454,4.007,2.25
455,4.005,2.25
456,4.005,2.25
457,4.005,2.25
458,4.005,2.25
459,4.005,2.25
460,4.005,2.25
461,4.005,2.25
462,4.005,2.25
463,4.005,2.25
464,4.005,2.25
465,4.004,2.25
466,4.005,2.25
467,4.004,2.25
468,4.004,2.25
469,4.004,2.25
470,4.004,2.25
471,4.003,2.25
472,4.003,2.25
473,4.003,2.25
474,4.003,2.25
475,4.003,2.25
476,4.003,2.25
477,4.002,2.25
478,4.002,2.25
479,4.002,2.25
480,4.002,2.25
481,4,2.25
482,4,2.25
483,4,2.25
484,4,2.25
485,4,2.25
486,4,2.25
487,4,2.25
488,4,2.25
489,3.999,2.25
490,4,2.25
491,3.999,2.25
492,3.999,2.25
493,3.999,2.25
494,3.998,2.25
495,3.998,2.25
496,3.998,2.25
497,3.996,2.25
498,3.996,2.25
499,3.996,2.25
500,3.996,2.25
501,3.995,2.25
502,3.995,2.25
503,3.995,2.25
504,3.995,2.25
505,3.995,2.25
506,3.994,2.25
507,3.994,2.25
508,3.994,2.25
509,3.994,2.25
510,3.993,2.25
511,3.994,2.25
512,3.993,2.25
513,3.993,2.25
514,3.993,2.25
515,3.991,2.25
516,3.991,2.25
517,3.991,2.25
