mission,N_laps,position,velocity,acceleration,time,throttle,thrust,loadfactor,AOA,climb_pitch_angle,bank_angle,phase,battery_SoC,battery_voltage,Amps,motor_input_power
3,0,[-0.13924326  0.          0.        ],[-1.39243264  0.          0.        ],[13.92432644  0.          0.        ],0.1,0.9,6.865084523394024,0.004855131764665428,0.0,,,0,99.92592592592592,24.771938203488368,52.857142857142854,0
0,0,[-0.41657321  0.          0.        ],[-2.77329943  0.          0.        ],[13.80866787  0.          0.        ],0.2,0.9,6.81378205118869,0.01925955078403333,0.0,,,0,99.85198295681094,24.75,53.67535070140276,0
0,0,[-0.83000355  0.          0.        ],[-4.1343034  0.         0.       ],[13.61003971  0.          0.        ],0.30000000000000004,0.9,6.731349763900616,0.0428013352615529,0.0,,,0,99.77790888273688,24.734632156012452,53.81818181818182,0
0,0,[-1.37651172  0.          0.        ],[-5.46508172  0.          0.        ],[13.30778319  0.          0.        ],0.4,0.9,6.607427920267725,0.07479041603502491,0.0,,,0,99.70383480866282,24.726000000000003,53.851619526762185,0
0,0,[-2.05289412  0.          0.        ],[-6.76382397  0.          0.        ],[12.98742252  0.          0.        ],0.5,0.9,6.482664303259641,0.11456111224792012,0.0,,,0,99.62976073458873,24.708000000000002,53.87041980101917,0
0,0,[-2.85582623  0.          0.        ],[-8.0293211  0.         0.       ],[12.65497125  0.          0.        ],0.6,0.9,6.359339891956158,0.16143967705283674,0.0,,,0,99.55568666051465,24.697516459446867,53.909664885866924,0
0,0,[-3.78186539  0.          0.        ],[-9.2603916  0.         0.       ],[12.310705  0.        0.      ],0.7,0.9,6.23695772298199,0.21473920090364174,0.0,,,0,99.48161258644058,24.69513335287565,53.93254832675722,0
0,0,[-4.82757021  0.          0.        ],[-10.45704819   0.           0.        ],[11.96656588  0.          0.        ],0.7999999999999999,0.9,6.120641373039688,0.273823581551277,0.0,,,0,99.40753851236651,24.683490759583428,53.937752874895644,0
0,0,[-5.98122955  0.          0.        ],[-11.53659347   0.           0.        ],[10.79545287  0.          0.        ],0.8999999999999999,0.9,6.009318306551183,0.9869018319851793,0.0,,,0,99.33346443829244,24.678000000000004,53.96319398150148,0
0,0,[-7.23785457  0.          0.        ],[-12.56625021   0.           0.        ],[10.29656739  0.          0.        ],0.9999999999999999,0.9,5.910649031772785,1.170927976389323,0.0,,,0,99.25939036421838,24.669954694012,53.97520058351567,0
0,0,[-8.57973564  0.          0.02804482],[-13.41881067   0.           0.28044821],[8.5256046  0.         2.80448213],1.0999999999999999,0.9,5.910649031772785,1.3357847581101523,10.0,10.0,,1,99.19207944668132,24.665999999999997,49.063118848970035,0
0,0,[-9.99917816  0.          0.10204359],[-14.19442519   0.           0.73998765],[7.75614518 0.         4.59539433],1.2,0.9,5.910649031772785,1.4980734612019881,10.0,11.197286438452663,,1,99.12474136569902,24.661777194030815,49.09078781414726,0
0,0,[-11.48614867   0.           0.24065304],[-14.86970509   0.           1.38609458],[6.75279899 0.         6.46106932],1.3,0.9,5.910649031772785,1.653791931022547,10.0,12.984257649600064,,1,99.05733552750696,24.660000000000004,49.1485983687703,0
0,0,[-13.02787393   0.           0.46264429],[-15.41725267   0.           2.21991245],[5.47547579 0.         8.33817869],1.4000000000000001,0.9,5.910649031772785,1.7990565805680705,10.0,15.325494726055123,,1,98.98986502813133,24.647543973333953,49.199291150549655,0
0,0,[-14.60858628   0.           0.7861928 ],[-15.80712348   0.           3.23548512],[ 3.89870816  0.         10.15572677],1.5000000000000002,0.9,5.910649031772785,1.9304069032680302,10.0,18.193637335807452,,1,98.92236009419302,24.642000000000003,49.249277063545115,0
0,0,[-16.20924745   0.           1.2280484 ],[-16.00661166   0.           4.41855602],[ 1.99488182  0.         11.83070895],1.6000000000000003,0.9,5.910649031772785,2.0446127910344676,10.0,21.567818969333377,,1,98.8548413787526,24.639268435922816,49.2704139700548,0
